AVG_TOTAL_DEMAND,AVG_FRAC_COST,AVG_INT_COST,AVG_FLOW,STD_TOTAL_DEMAND,STD_FRAC_COST,STD_INT_COST,STD_FLOW
5.6,6516.09274286,6516.09274286,5.6,0.64,11598373.4444,11598373.4444,0.64
4.8,7887.3400381,7887.3400381,4.8,4.16,59187795.5592,59187795.5592,4.16
14.4,7526.28138309,7526.28138309,14.4,34.64,28525891.4628,28525891.4628,34.64
20.8,8329.202728,8329.202728,20.8,87.76,5387373.03924,5387373.03924,87.76
32.8,8830.0499521,8830.0499521,32.8,106.56,46886977.7753,46886977.7753,106.56
48.2,8078.13108405,8078.13108405,48.2,75.76,9831346.9474,9831346.9474,75.76
67.2,5668.31423346,5668.31423346,67.2,496.56,2016398.35192,2016398.35192,496.56
98.2,6765.89940241,6765.89940241,98.2,810.16,6344818.92861,6344818.92861,810.16
130.8,6275.04969697,6275.04969697,130.8,2269.36,3326365.19455,3326365.19455,2269.36
204.6,6462.94077562,6462.94077562,204.6,3265.84,1582815.81025,1582815.81025,3265.84
298.8,6201.53919538,6201.53919538,298.8,8158.16,1815262.49239,1815262.49239,8158.16
441.2,6591.47810799,6591.47810799,441.2,12892.96,1960639.13452,1960639.13452,12892.96
661.0,6841.70983149,6865.58056053,661.0,33708.4,3952574.59244,3926994.55251,33708.4
980.6,7987.78654451,7993.80213306,980.6,72901.04,8546155.29105,8511997.67471,72901.04
543.8,5879.58536826,5879.82490619,543.8,20059.36,1310933.67035,1310395.92174,20059.36
706.6,6210.59454195,6210.59454195,706.6,39661.84,901482.88668,901482.88668,39661.84
750.8,5853.078165,5863.63700261,750.8,36795.76,2062154.32899,2046351.31921,36795.76
697.2,5603.21430876,5603.21430876,697.2,31078.16,1395975.78521,1395975.78521,31078.16
494.2,5290.89030052,5290.89030052,494.2,18032.96,1492631.37484,1492631.37484,18032.96
482.4,5318.75931331,5318.75931331,482.4,15849.84,426260.612703,426260.612703,15849.84
462.2,5240.22072812,5240.22072812,462.2,14068.56,1111361.15869,1111361.15869,14068.56
401.0,4941.52173726,4941.52173726,401.0,10270.0,804857.70222,804857.70222,10270.0
350.2,4880.26357283,4880.26357283,350.2,8130.96,382192.636661,382192.636661,8130.96
324.8,4708.4559389,4708.4559389,324.8,7226.96,348516.366167,348516.366167,7226.96
274.4,4745.42212132,4745.42212132,274.4,6381.04,483639.665705,483639.665705,6381.04
266.2,4632.08975604,4632.08975604,266.2,5746.56,220403.04091,220403.04091,5746.56
221.2,4542.67006013,4542.67006013,221.2,3308.96,257307.411488,257307.411488,3308.96
188.8,4767.41134318,4767.41134318,188.8,2001.76,66021.4982839,66021.4982839,2001.76
178.2,4557.33038782,4557.33038782,178.2,2782.96,146653.517918,146653.517918,2782.96
152.4,4709.54175573,4709.54175573,152.4,916.24,1254577.57616,1254577.57616,916.24
148.4,4321.78859449,4321.78859449,148.4,1463.04,1697358.69399,1697358.69399,1463.04
56.0,5081.61362424,5081.61362424,56.0,287.2,2256959.06975,2256959.06975,287.2
